name,ms,num_gb,gb_per_s,n_regs
no_skips,7.361945152282715,2.819883008,383.03504707932257,96
skip_first_1,7.1995391845703125,2.819883008,391.67548584823743,96
skip_first_2,7.254426002502441,2.819883008,388.7120782577796,96
skip_first_3,7.601151943206787,2.819883008,370.98100775635106,96
skip_first_4,7.600640296936035,2.819883008,371.00598079042754,88
skip_last_1,7.274701118469238,2.819883008,387.62870969926075,88
skip_last_2,7.290470123291016,2.819883008,386.7902837968242,80
skip_last_3,7.194419860839844,2.819883008,391.95418985052396,64
skip_last_4,7.181517124176025,2.819883008,392.65839783450224,56
skip_all,6.6066436767578125,2.819883008,426.8253512627531,32
